iter	Passed	Remaining
0	1	104
1	1	86
2	2	83
3	3	79
4	4	82
5	5	78
6	5	77
7	6	76
8	7	76
9	8	74
10	8	72
11	9	71
12	10	69
13	11	69
14	12	70
15	13	69
16	14	71
17	15	69
18	15	67
19	16	65
20	17	64
21	17	62
22	18	61
23	19	60
24	19	59
25	21	59
26	21	58
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	30	42
42	31	41
43	32	40
44	32	39
45	33	38
46	33	38
47	34	37
48	34	36
49	35	35
50	36	34
51	36	33
52	37	33
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	71	0
99	71	0
