iter	Passed	Remaining
0	0	606
1	1	544
2	1	548
3	2	619
4	3	613
5	3	647
6	4	657
7	5	644
8	5	627
9	6	637
10	7	642
11	8	660
12	8	663
13	9	666
14	10	663
15	10	658
16	11	672
17	12	680
18	13	673
19	13	668
20	14	669
21	15	678
22	15	676
23	16	673
24	17	665
25	17	660
26	18	660
27	18	657
28	19	656
29	20	656
30	20	653
31	21	649
32	22	646
33	22	640
34	23	642
35	24	643
36	24	642
37	25	639
38	25	635
39	26	633
40	26	630
41	27	628
42	28	626
43	28	625
44	29	622
45	29	619
46	30	616
47	30	613
48	31	611
49	32	610
50	32	610
51	33	609
52	34	611
53	34	611
54	35	610
55	36	610
56	36	608
57	37	606
58	37	604
59	38	603
60	39	601
61	39	599
62	40	598
63	40	597
64	41	595
65	41	594
66	42	592
67	43	590
68	43	589
69	44	587
70	44	585
71	45	582
72	45	581
73	46	580
74	46	578
75	47	577
76	48	576
77	48	574
78	49	573
79	49	572
80	50	572
81	50	570
82	51	566
83	51	564
84	52	563
85	52	562
86	53	560
87	53	558
88	54	557
89	55	556
90	55	555
91	56	553
92	56	552
93	57	551
94	57	549
95	58	548
96	58	547
97	59	546
98	59	544
99	60	543
100	60	542
101	61	541
102	62	540
103	62	539
104	63	538
105	63	536
106	64	537
107	64	536
108	65	535
109	66	537
110	66	535
111	67	534
112	67	533
113	68	532
114	69	531
115	69	530
116	70	528
117	70	527
118	71	526
119	71	524
120	72	523
121	72	522
122	73	520
123	73	520
124	74	518
125	74	518
126	75	516
127	75	515
128	76	514
129	76	513
130	77	513
131	77	511
132	78	511
133	78	510
134	79	509
135	80	510
136	80	510
137	81	509
138	82	509
139	83	511
140	83	511
141	84	509
142	84	509
143	85	509
144	86	508
145	86	508
146	87	507
147	88	506
148	88	506
149	89	505
150	89	505
151	90	504
152	91	504
153	91	503
154	92	502
155	92	501
156	93	501
157	93	500
158	94	500
159	95	501
160	95	499
161	96	499
162	97	498
163	97	498
164	98	497
165	98	496
166	99	495
167	99	494
168	100	493
169	100	492
170	101	491
171	101	490
172	102	489
173	103	489
174	103	488
175	104	488
176	104	487
177	105	486
178	105	485
179	106	485
180	107	485
181	107	484
182	108	483
183	108	482
184	109	481
185	109	480
186	110	480
187	111	479
188	111	479
189	112	478
190	112	477
191	113	477
192	113	476
193	114	475
194	114	474
195	115	473
196	116	473
197	116	472
198	117	471
199	117	470
200	118	470
201	119	471
202	119	470
203	120	470
204	121	470
205	122	470
206	122	469
207	123	468
208	123	468
209	124	467
210	124	466
211	125	466
212	126	466
213	126	465
214	127	465
215	128	464
216	128	464
217	129	463
218	129	462
219	130	462
220	130	461
221	131	460
222	131	459
223	132	459
224	133	458
225	133	457
226	134	457
227	134	456
228	135	455
229	135	455
230	136	454
231	137	454
232	137	453
233	138	452
234	138	451
235	139	451
236	139	450
237	140	449
238	141	450
239	142	449
240	142	449
241	143	449
242	144	449
243	144	448
244	145	448
245	146	447
246	146	447
247	147	446
248	147	446
249	148	445
250	149	445
251	149	445
252	150	444
253	151	444
254	151	443
255	152	443
256	153	443
257	153	442
258	154	442
259	155	442
260	156	442
261	156	441
262	157	441
263	158	442
264	159	441
265	159	441
266	160	440
267	161	440
268	161	439
269	162	438
270	162	437
271	163	437
272	164	436
273	164	436
274	165	435
275	165	435
276	166	434
277	166	433
278	167	432
279	168	432
280	168	431
281	169	430
282	169	429
283	170	429
284	171	429
285	171	428
286	172	427
287	172	427
288	173	427
289	174	426
290	174	425
291	175	425
292	175	424
293	176	423
294	177	423
295	177	422
296	178	421
297	178	420
298	179	420
299	179	419
300	180	418
301	180	417
302	181	417
303	181	416
304	182	415
305	182	414
306	183	414
307	184	413
308	184	412
309	185	411
310	185	411
311	186	411
312	187	410
313	187	410
314	188	410
315	189	409
316	189	409
317	190	408
318	191	408
319	191	407
320	192	406
321	192	405
322	193	405
323	193	404
324	194	403
325	194	403
326	195	402
327	196	401
328	196	400
329	197	400
330	197	399
331	198	398
332	198	398
333	199	397
334	199	396
335	200	395
336	200	395
337	201	394
338	202	394
339	203	394
340	203	394
341	204	393
342	205	393
343	205	392
344	206	392
345	207	391
346	207	390
347	208	390
348	208	389
349	209	388
350	209	387
351	210	387
352	210	386
353	211	385
354	211	384
355	212	384
356	212	383
357	213	382
358	213	382
359	214	381
360	215	380
361	215	379
362	216	379
363	217	379
364	217	379
365	218	378
366	219	378
367	219	377
368	220	377
369	221	376
370	221	375
371	222	375
372	222	374
373	223	374
374	224	373
375	224	373
376	225	372
377	225	371
378	226	371
379	227	370
380	227	369
381	228	369
382	228	368
383	229	368
384	230	367
385	230	367
386	231	366
387	232	366
388	232	365
389	233	365
390	234	364
391	234	364
392	235	363
393	236	363
394	236	362
395	237	361
396	237	360
397	238	360
398	238	359
399	239	358
400	239	358
401	240	357
402	240	356
403	241	356
404	241	355
405	242	354
406	243	354
407	243	353
408	244	352
409	244	351
410	244	351
411	245	350
412	246	349
413	246	349
414	247	349
415	248	348
416	248	348
417	249	347
418	250	346
419	250	345
420	251	345
421	251	344
422	252	343
423	252	343
424	253	342
425	253	341
426	254	340
427	254	340
428	255	339
429	255	338
430	256	338
431	256	337
432	257	336
433	257	336
434	258	335
435	259	335
436	259	334
437	260	334
438	261	334
439	262	333
440	262	333
441	263	332
442	264	332
443	264	331
444	265	330
445	265	329
446	266	329
447	266	328
448	267	327
449	267	327
450	268	326
451	268	325
452	269	325
453	269	324
454	270	323
455	270	323
456	271	322
457	272	321
458	272	321
459	273	320
460	273	319
461	274	319
462	274	318
463	275	318
464	276	317
465	276	317
466	277	316
467	278	316
468	278	315
469	279	314
470	279	314
471	280	313
472	280	313
473	281	312
474	281	311
475	282	310
476	282	310
477	283	309
478	284	309
479	284	308
480	285	307
481	285	307
482	286	306
483	286	305
484	287	305
485	288	304
486	288	303
487	289	303
488	289	302
489	290	302
490	290	301
491	291	300
492	291	300
493	292	299
494	293	299
495	293	298
496	294	297
497	295	297
498	295	297
499	296	296
500	297	295
501	297	295
502	298	294
503	299	294
504	299	293
505	300	293
506	300	292
507	301	291
508	302	291
509	302	290
510	303	290
511	303	289
512	304	288
513	304	288
514	305	287
515	305	286
516	306	286
517	306	285
518	307	284
519	308	284
520	308	283
521	309	283
522	309	282
523	310	282
524	311	281
525	311	280
526	312	280
527	312	279
528	313	278
529	313	278
530	314	277
531	314	276
532	315	276
533	316	275
534	316	275
535	317	274
536	318	274
537	318	273
538	319	273
539	320	272
540	320	272
541	321	271
542	321	270
543	322	270
544	322	269
545	323	268
546	324	268
547	324	267
548	325	267
549	325	266
550	326	265
551	326	265
552	327	264
553	327	263
554	328	263
555	329	262
556	329	262
557	330	261
558	330	260
559	331	260
560	331	259
561	332	259
562	332	258
563	333	257
564	334	257
565	334	256
566	335	255
567	335	255
568	336	254
569	336	254
570	337	253
571	337	252
572	338	252
573	339	251
574	339	251
575	340	250
576	341	250
577	341	249
578	342	248
579	342	248
580	343	247
581	344	247
582	344	246
583	345	246
584	346	245
585	346	245
586	347	244
587	347	243
588	348	243
589	349	242
590	349	242
591	350	241
592	350	240
593	351	240
594	351	239
595	352	238
596	352	238
597	353	237
598	354	237
599	354	236
600	355	236
601	356	235
602	356	234
603	357	234
604	357	233
605	358	233
606	359	232
607	359	232
608	360	231
609	361	230
610	361	230
611	362	229
612	363	229
613	363	228
614	364	228
615	365	227
616	365	227
617	366	226
618	366	225
619	367	225
620	368	224
621	368	224
622	369	223
623	370	222
624	370	222
625	371	221
626	371	221
627	372	220
628	372	219
629	373	219
630	374	218
631	374	218
632	375	217
633	375	216
634	376	216
635	376	215
636	377	214
637	377	214
638	378	213
639	378	213
640	379	212
641	380	211
642	380	211
643	381	210
644	381	210
645	382	209
646	382	208
647	383	208
648	383	207
649	384	206
650	385	206
651	385	205
652	386	205
653	387	204
654	387	204
655	388	203
656	388	202
657	389	202
658	389	201
659	390	201
660	390	200
661	391	199
662	391	199
663	392	198
664	392	197
665	393	197
666	393	196
667	394	196
668	395	195
669	395	194
670	396	194
671	396	193
672	397	192
673	397	192
674	398	191
675	398	191
676	399	190
677	399	189
678	400	189
679	401	188
680	402	188
681	402	187
682	403	187
683	404	186
684	404	186
685	405	185
686	405	184
687	406	184
688	406	183
689	407	183
690	407	182
691	408	181
692	409	181
693	409	180
694	410	180
695	410	179
696	411	178
697	411	178
698	412	177
699	412	176
700	413	176
701	413	175
702	414	175
703	414	174
704	415	173
705	416	173
706	416	172
707	417	172
708	418	171
709	418	170
710	419	170
711	419	169
712	420	169
713	420	168
714	421	168
715	422	167
716	422	166
717	423	166
718	423	165
719	424	164
720	424	164
721	425	163
722	425	163
723	426	162
724	426	161
725	427	161
726	427	160
727	428	160
728	429	159
729	429	158
730	430	158
731	431	157
732	431	157
733	432	156
734	433	156
735	434	155
736	434	155
737	435	154
738	435	153
739	436	153
740	436	152
741	437	152
742	438	151
743	438	150
744	439	150
745	439	149
746	440	149
747	440	148
748	441	147
749	442	147
750	442	146
751	443	146
752	443	145
753	444	144
754	444	144
755	445	143
756	445	143
757	446	142
758	447	141
759	447	141
760	448	140
761	448	140
762	449	139
763	449	138
764	450	138
765	450	137
766	451	137
767	452	136
768	452	135
769	453	135
770	453	134
771	454	134
772	454	133
773	455	132
774	455	132
775	456	131
776	456	131
777	457	130
778	457	129
779	458	129
780	459	128
781	459	128
782	460	127
783	461	127
784	461	126
785	463	126
786	463	125
787	464	124
788	465	124
789	465	123
790	466	123
791	466	122
792	467	121
793	467	121
794	468	120
795	468	120
796	469	119
797	469	118
798	470	118
799	470	117
800	471	117
801	472	116
802	472	115
803	473	115
804	473	114
805	474	114
806	475	113
807	475	113
808	476	112
809	476	111
810	477	111
811	477	110
812	478	110
813	479	109
814	479	108
815	480	108
816	480	107
817	481	107
818	481	106
819	482	105
820	482	105
821	483	104
822	483	104
823	484	103
824	484	102
825	485	102
826	485	101
827	486	101
828	486	100
829	487	99
830	488	99
831	488	98
832	489	98
833	489	97
834	490	96
835	490	96
836	491	95
837	491	95
838	492	94
839	493	93
840	493	93
841	494	92
842	495	92
843	495	91
844	496	91
845	496	90
846	497	89
847	498	89
848	498	88
849	499	88
850	499	87
851	500	86
852	501	86
853	501	85
854	502	85
855	503	84
856	503	84
857	504	83
858	505	82
859	505	82
860	506	81
861	507	81
862	507	80
863	508	80
864	509	79
865	510	78
866	510	78
867	511	77
868	512	77
869	512	76
870	513	76
871	513	75
872	514	74
873	515	74
874	515	73
875	516	73
876	516	72
877	517	71
878	518	71
